,business_id,categories,city,latitude,longitude,name,review_count,stars
15,1FodVSAxoKqEKYQc3QHgvg,"[Italian, Restaurants, Pizza]",Pittsburgh,40.3830261,-80.0153449,Bellisario's Pizza Palace,23,3.5
16,yuwmVUmsFVawe4zxnWZfNg,"[Restaurants, Chicken Wings, Caterers, Event Planning & Services, Fast Food, American (Traditional)]",Charlotte,35.086393,-80.848856,Flip'n Chicken,86,4.0
17,YaFM08fEdbp-iSon3Opsbw,"[Food, Mexican, Restaurants]",Charlotte,35.2941686,-80.7397847,Monterrey Mexican Restaurant,68,3.5
18,nPJqwNZWIxHd-vfE-E3XQQ,"[Restaurants, Thai]",Charlotte,35.1517973,-80.9507926,Siam Garden,99,3.5
19,hFZX4EKI77iLYRjMb4kN7g,"[Vietnamese, Restaurants]",Charlotte,35.2191059,-80.7970519,Kien Giang Food 2 Go,16,4.0
20,64MxB_OZQ_2JCklRm1LYxw,"[Burgers, American (New), Food, Salad, Restaurants]",Charlotte,35.1026689211,-80.98548535,BT's Burger Joint,62,3.5
21,r6YlsmM53fDwbRNlNl-OUQ,"[Bars, Lounges, American (Traditional), Restaurants, Nightlife]",Pittsburgh,40.493969,-79.860283,Starlite Lounge,24,3.5
22,fUB_aqie86DKI2tTAkG72w,"[Food Delivery Services, Restaurants, Pizza, Food]",Pittsburgh,40.4926429,-79.8630525,Pizza Bellagio,3,2.5
23,gypeQSuD8-09CtzkZSWfxw,"[Ice Cream & Frozen Yogurt, American (New), Restaurants, Food]",Pittsburgh,40.357482,-80.002086,Sincerely Yogurt,4,5.0
24,6iJ8yrsueJ8QH3HceGstxw,"[American (New), Restaurants]",Charlotte,35.176496,-80.802224,Table 274,52,3.5
25,TYe7fuJ3DO1MZZyZJOjwZg,"[Restaurants, American (Traditional)]",Charlotte,35.335627,-80.922953,T's Fat Parrot,3,4.5
26,MV9fUwgI2AQa4uZArynRlA,"[Mexican, Restaurants]",Charlotte,35.089838,-80.868412,Monterrey,53,3.5
27,lqHk6vmnSoTaZwMLSfq1MA,"[Restaurants, Bars, Barbeque, American (Traditional), Nightlife, Beer Bar]",Pittsburgh,40.443036,-80.002605,Pork and Beans,68,4.0
28,CaMwTEn92eJ1T2Zfr1xcnA,"[Pizza, Restaurants]",Pittsburgh,40.4403955,-80.0010018,Mamma Lucia Pizza,9,4.0
29,2ERnU_ihjdwusbdlXSf3gg,"[Restaurants, Mexican]",Pittsburgh,40.4512206,-79.9346006,Chica Loca Taco,19,3.5
30,M70Jr9yUWCDfoTsZS3uq7A,"[Restaurants, Vegan, Live/Raw Food]",Pittsburgh,40.4511828,-79.9344645,Eden,129,4.5
31,sSExaL8luneZit55NqQ2uA,"[American (New), Sandwiches, Nightlife, Pubs, Restaurants, Sports Bars, Bars]",Charlotte,35.1686070885,-80.8760010079,Malone's Pourhouse,7,3.0
32,GIIyJ3BjG2P4FNxBou2WPg,"[Restaurants, Diners]",Charlotte,35.141819,-80.876992,Brooklyn Diner,4,1.0
33,rb4d1_OtpVD91J5NDp4Y3w,"[Sushi Bars, Asian Fusion, Seafood, Japanese, Restaurants]",Charlotte,35.2096,-80.860421,O-Ku Sushi,75,4.0
34,H9a6IRS0edhW343Y2kXSSA,"[Gastropubs, Burgers, Restaurants]",Charlotte,35.2114719,-80.8584451,The Liberty,313,3.5
35,hvjm0ebS1TVB4v2XzebFRQ,"[Coffee & Tea, Sandwiches, Food, Restaurants]",Charlotte,35.2263267,-80.8429359,Blynk Organic,3,3.5
36,Uh6EhbFKgQlhVpfvnqsfHA,"[Bakeries, Food, Restaurants, Event Planning & Services, Caterers]",Pittsburgh,40.46194,-80.01929,BreadWorks Bakery,19,4.5
37,JXGyLKoAmNfC0IDe0NYZbA,"[Buffets, American (Traditional), Restaurants]",Charlotte,35.3184247,-80.6624269,Souper Salad,4,2.5
38,ko9dETTvmKgqFuxJ2jbLtA,"[Italian, Chicken Wings, Restaurants, Pizza]",Charlotte,35.2440597,-80.8919965,Pizza Hut,23,1.0
39,xRRDXfZL4V2-I7i2JLnpIA,"[American (Traditional), Restaurants]",Pittsburgh,40.4287428,-79.976903,1889 Cafe,10,3.0
40,Jk9rocVjl9UTK7uArNBgrA,"[American (Traditional), Restaurants]",Pittsburgh,40.428796,-79.976795,City Grill,9,3.5
41,G7QZWVm-ytyKHpvUq3ggFA,"[Restaurants, Pizza]",Pittsburgh,40.4286949,-79.9844739,Sal's New York Pizzeria,18,2.5
42,KaxjIAYLhqXN8-p_iZwgBw,"[Delis, Food, Restaurants, Specialty Food, Pasta Shops]",Charlotte,35.1669955,-80.8508653,Pasta & Provisions,26,4.5
43,ACRXKq6Ngtktnvf6rdcGwQ,"[Southern, American (Traditional), Restaurants, Diners, Breakfast & Brunch]",Charlotte,35.2398179,-80.9181612,Cracker Barrel Old Country Store,51,3.5
44,K0VNhFhaOrO3CypCqofjwA,"[Restaurants, Chinese]",Charlotte,35.0482549,-80.8162405,MA MA Wok,25,3.0
45,LhIpo0MrEqgDj5Ba_G9BcQ,"[Restaurants, American (Traditional)]",Charlotte,35.2164881,-80.8404216,Uptown Bar And Kitchen,6,3.0
46,99TYELtvqw0loiJfodIaow,"[Restaurants, Buffets, American (New)]",Charlotte,35.2168918873,-80.8371663094,Chamber's American Grille,3,2.5
47,H3EBEKejPL8tsB1gQYG1Ew,"[Restaurants, Chicken Wings, Fast Food]",Charlotte,35.104851,-80.879773,Chick-fil-A,18,3.0
48,8vzMRsSIjkdjwq3u190ohw,"[Restaurants, Indian, Pakistani]",Pittsburgh,40.4430393,-79.9969232,Sree's Foods,45,3.5
49,cpoymNVg8jDEv8azrAg5gQ,"[Mediterranean, Restaurants]",Charlotte,35.1383505146,-80.9354200521,Olives Mediterranean Grill,42,3.5
50,98gLNkYYJCg4f_uJ7o2wBg,"[Restaurants, Chinese]",Charlotte,35.220624,-80.8098575,Hong Kong,16,2.5
51,COqLTo3bb1fuMIg2_fA6Fw,"[Falafel, Restaurants, Bakeries, Greek, Arabian, Food, Grocery, Delis, Halal, Middle Eastern, Mediterranean]",Charlotte,35.312179,-80.713576,Bread and  Kabob,48,3.5
52,SHFlELFcEcAOJv_fTAKChQ,"[American (New), Bars, Tapas/Small Plates, Restaurants, Nightlife]",Charlotte,35.2286689,-80.84241,Dandelion Market,452,4.0
53,VJ46ohh-N7iHKfEX1z7mcg,"[Breakfast & Brunch, Coffee & Tea, Food, Desserts, Belgian, Restaurants]",Charlotte,35.152852,-80.840464,Cast Iron Waffles,30,3.0
54,EaIho6EvTuODNHPLO98yeQ,"[Restaurants, Pizza]",Charlotte,35.1465729,-80.80895,Brixx Wood Fired Pizza,62,3.0
55,aCoRJp8Zty-hY3YaHqIItA,"[Restaurants, Chicken Wings, Fast Food]",Charlotte,35.1934,-80.795,KFC,4,2.0
56,a7xD9CEepfivEZAKrCEPbw,"[Fast Food, Restaurants, Burgers]",Pittsburgh,40.4691075,-79.9623256,Wendy's,9,3.0
57,GbCoZiJLPbI-7bu0awyoZQ,"[Restaurants, Live/Raw Food, Vegan, Food, Juice Bars & Smoothies, Organic Stores]",Charlotte,35.1731814,-80.8400346,One Life Raw Juice Bar,23,4.5
58,-hTlljcZfYbLuv9pInIZhg,"[Breakfast & Brunch, Restaurants]",Charlotte,35.236271,-80.878586,Nicky's Kitchen,7,4.0
59,cMHgw40ldvUBxTYNeZjHQg,"[Restaurants, Southern, Barbeque]",Charlotte,35.2231187519,-80.9403813657,Whisky River at the Airport,70,2.5
60,uejutOD4_-IUaY5cKkpezg,"[Restaurants, Cafes, Food, Coffee & Tea, Bars, Wine Bars, Breakfast & Brunch, Nightlife]",Charlotte,35.0541188,-80.8519401,Rush Espresso Cafe and Wine Bar,164,4.5
61,a3ZqjElMgAe924sbXZVcvA,"[Restaurants, Pizza]",Pittsburgh,40.439118,-79.961792,Sciulli's Pizza,9,4.5
62,O5AjarihqW1V8RlJnoef9A,"[Restaurants, Hot Dogs, Burgers, Sandwiches]",Charlotte,35.2240131,-80.8464728,Matt's Chicago Dog,58,4.0
63,qcTaluNjodgXvSE-MFYvKQ,"[Desserts, Chicken Wings, American (Traditional), Restaurants, Pizza, Food]",Charlotte,35.1190101589,-80.9574144334,Cicis,19,2.5
64,FrfzI901uS2bU2kgUkqaVw,"[Seafood, Restaurants, Bars, Cocktail Bars, Nightlife]",Charlotte,35.060865737,-80.8144658479,Pearlz Oyster Bar,70,3.5
65,k7VQD0pbdFN0Ju0yNVrtZQ,"[Restaurants, Breakfast & Brunch, Sandwiches]",Pittsburgh,40.462632,-79.950246,The Bloomfield Sandwich Shop,42,4.0
66,AR9Lf9MIsBqc52qlyKIpcg,"[Restaurants, Italian, Pizza]",Pittsburgh,40.5445685,-80.0087509,Villa Fresh Italian Kitchen,5,2.0
67,buzXlOCvxtohdMD8g3EWsw,"[Nightlife, Tapas Bars, Wine Bars, Restaurants, Bars]",Pittsburgh,40.457861,-79.9280308,La Casa,47,2.5
68,QnCWy07Vlp3F0rTruTTlfg,"[Southern, Butcher, Sandwiches, Cheese Shops, Food, Specialty Food, Restaurants, Grocery, Local Flavor]",Charlotte,35.1745344,-80.848208,Reid's Fine Food,5,4.0
69,0ol96MXnGGSON0DhOWaz9g,"[Restaurants, Latin American]",Charlotte,35.148215,-80.8950909,Morazan Restaurant,5,4.0
70,0MR1J0U8uOXtvZlHV-johQ,"[Cafes, Arcades, Food, Internet Cafes, Arts & Entertainment, Restaurants, Coffee & Tea]",Pittsburgh,40.4712221,-79.9598367,Kickback Pinball Cafe,33,4.5
71,GvLgdEWhVWBahZsFiGYTgQ,"[Italian, Restaurants]",Pittsburgh,40.4052704,-80.0302382,Lunardi's Ristorante,3,5.0
72,s8OLoPfOpB0FbK5frI3CkQ,"[Asian Fusion, Restaurants, Gastropubs, American (New), British]",Charlotte,35.2194153,-80.8137099,The Peculiar Rabbit,346,3.0
73,pGwfOqNEL8FbMUFspJdAMA,"[Mexican, Restaurants]",Pittsburgh,40.460303,-79.9249675,Patron Mexican Grill,86,3.5
74,5aGYZbjkXpCecz4QH2ZKFg,"[Chinese, Buffets, Restaurants]",Charlotte,35.1457297,-80.9365337,Dragon Buffet,59,3.5
75,nDZWoEznY5-oSCc2HvoMtA,"[Italian, Restaurants, Pizza]",Charlotte,35.226051,-80.836185,Villa Francesca,81,3.5
76,FdAFfmeqaaY-1463SyTwGQ,"[Restaurants, Breakfast & Brunch, Diners]",Pittsburgh,40.4404938,-80.0019404,Cherries Diner,42,3.0
77,8A_GP28T-gqf91qJRI-lDQ,"[Restaurants, Fast Food, Tex-Mex, Mexican]",Charlotte,35.20255,-80.73531,Taco Bell,3,1.5
78,9_SM4w8LoVrPT98KPaJrYQ,"[Restaurants, Food, Burgers, Food Trucks, Fast Food, Breakfast & Brunch]",Charlotte,35.2270869,-80.8431267,The Cookin Coop,3,5.0
79,pDoDY-cDLyeKQgDx5RAlnQ,"[American (Traditional), Southern, Restaurants]",Charlotte,35.223631025,-80.6386865374,Jake's Good Eats,130,3.5
80,F6BsfBmBJCg6X-0jGQbjDA,"[Burgers, Fast Food, Restaurants]",Charlotte,35.1844469,-80.8866877,McDonald's,12,2.0
81,GnPXUkEvX5M0YR_PVGhWgg,"[Food, Pizza, Ice Cream & Frozen Yogurt, Italian, Restaurants]",Pittsburgh,40.4395294943,-79.8974228917,Park Pizza & Cream,27,4.0
82,ECtQU_nN7OX1xnz1gujGcQ,"[Restaurants, Indian]",Pittsburgh,40.464942,-79.9412135,People's Indian Restaurant,79,4.0
83,5-wiVRTpKwhz2wKxNS-JzA,"[Hot Dogs, Chicken Wings, Burgers, Cheesesteaks, Food, Restaurants]",Pittsburgh,40.3713729,-79.9820868,51 Wings and Things,37,4.0
84,CgeNY1pll5dBQuHPCJGAOg,"[Hot Dogs, Mexican, American (Traditional), Restaurants, Burgers]",Charlotte,35.3075148,-80.8438944,Hardee's Red Burrito,6,3.5
85,T9uRUpoontO6YX-GoM4UvA,"[Pizza, Italian, Restaurants]",Pittsburgh,40.4654547,-79.9447111,Calabria's Italian Restaurant,3,2.5
86,S8VRQCBrbZI04zjCOc1RAA,"[Restaurants, Mexican]",Pittsburgh,40.438918,-79.9553059,Las Palmas,146,4.5
87,sQZ7qgxPJD-7xMdowTdSdA,"[Restaurants, Salad, Soup, Sandwiches]",Charlotte,35.303872,-80.749548,Blimpie America's Sub Shop,5,3.5
88,SBPttAVjzEnN3VE6sKiaMg,"[Restaurants, Chinese]",Charlotte,35.061319,-80.814423,Jo Jo China Bistro,35,3.5
89,ym7uH6ZpCfKQ1Of7eaYGCA,"[Restaurants, Pizza]",Pittsburgh,40.31836,-79.9958954,Donte's Pizzeria,31,4.5
90,5ggluCpQ25P0Ma_w2cBDEA,"[Restaurants, Cafes, Burgers, Salad]",Pittsburgh,40.428359,-79.978196,Hello Bistro,59,3.5
91,4CE_jyoNwSYkorer13G5OQ,"[Mexican, Restaurants]",Pittsburgh,40.42746,-79.969291,El Toro Loco,54,3.5
92,Qsg-2Coum0ccbXuJWDwZqA,"[American (New), Restaurants, Southern]",Charlotte,35.145938695,-80.8300620574,Dogwood Southern Table & Bar,145,4.5
93,oopfFjmzxgkDB0tt160nkg,"[Restaurants, Mexican]",Pittsburgh,40.5340847,-79.8447324,Three Amigos,4,3.0
94,ynKAUSYi3c8M-rkVJI1PcQ,"[Fast Food, Ice Cream & Frozen Yogurt, Food, Buffets, Italian, Sandwiches, Restaurants, Pizza]",Pittsburgh,40.518468,-80.0316117,DiPietro's,31,4.0
95,38aN0fB_zHtkw1kb3lSj8g,"[Restaurants, Pizza]",Pittsburgh,40.4262306,-79.9682216,Michael's Pizza Bar & Restaurant,65,4.5
96,nmBU1vK_3pkF08guLEoUjA,"[Restaurants, Breakfast & Brunch, Sandwiches]",Pittsburgh,40.4944063,-79.9347447,Club Sandwich & Deli,8,4.0
97,LpxBWoPK3aP3Sjhbm7-lhw,"[Fast Food, Salad, Food, American (New), Restaurants]",Charlotte,35.2255285135,-80.8440958469,Freshii,28,3.5
98,j3IBjxYKwh__BhA25KDeZw,"[Event Planning & Services, Caterers, Breakfast & Brunch, Restaurants]",Pittsburgh,40.421766,-79.9959259,Sweet Peaches,19,4.5
99,8IetU93EqoUGRVNOt0Q2iA,"[Restaurants, Sandwiches]",Pittsburgh,40.4437729,-79.9957994,Fernando's Cafe,22,3.5
100,YAJzBGvqT3dT_qAg6u8E1A,"[Sports Bars, Nightlife, American (Traditional), Bars, Restaurants, Pubs]",Charlotte,35.199889,-80.842288,Lebowski's Neighborhood Grill,256,4.0
101,_82041xhXs6-_WWT82BA8Q,"[Pizza, Restaurants]",Pittsburgh,40.365075,-80.024144,Nobby's Pizzeria,18,3.0
102,ek5cepgrlLiswA0rF6rc7g,"[Chicken Shop, Restaurants, Breakfast & Brunch, Fast Food]",Charlotte,35.3055903,-80.8549692,Bojangles' Famous Chicken 'n Biscuits,11,2.0
103,-L9TeQN_JgLBvqf9wmsBVQ,"[American (New), Whiskey Bars, Cocktail Bars, Specialty Food, Nightlife, Restaurants, Food, Distilleries, Tapas Bars, Beer Bar, Bars, Barbeque]",Charlotte,35.1860008,-80.8814186,The Broken Spoke,50,4.0
104,TcCWYYL6FxBTT6KrxabwRg,"[Restaurants, Street Vendors, Mexican, Food]",Pittsburgh,40.455585,-79.977913,Edgar Tacos Stand,40,5.0
105,pPyg8s0O8JB7bDCaCj398w,"[Tapas Bars, Bars, Food, Restaurants, Breweries, Nightlife, Beer Bar]",Pittsburgh,40.4509048171,-79.9849490505,East End Brewing Taproom,17,4.5
106,59h0SyMyfMoQ988sEsjfEQ,"[Middle Eastern, Egyptian, Restaurants]",Pittsburgh,40.3936077654,-80.0196859986,Isis Cafe,7,4.0
107,JhrGRSeL0_ZhEbRFPBp3yw,"[Mexican, Latin American, Restaurants]",Charlotte,35.2139084,-80.7712462,Morazan Restaurant,21,4.0
108,LTPcaw-_IqOfTSDxe8811A,"[Restaurants, American (New), Pizza]",Pittsburgh,40.3762608,-80.0367425,Duke's Pub and Pizza,15,3.0
109,zV-MIXhL1atiHTc1P1HRRA,"[Restaurants, Comfort Food, American (Traditional)]",Pittsburgh,40.4386855,-79.9985136,Pittsburgh Poultry Company,8,4.0
110,5fquJHY2hMX9tPRD5s0t5g,"[Restaurants, American (New), Italian, French]",Charlotte,35.2270713962,-80.8412452111,Rooster's Uptown,290,4.0
111,hHgSUnDB9yIrxUEMSmsdoQ,"[Restaurants, Salad, Italian]",Pittsburgh,40.4405566,-79.9580515,Piada Italian Street Food,12,4.5
112,gIIEgpdUPm1IMs-yKl-91A,"[Restaurants, Cafes, Sandwiches]",Charlotte,35.088675,-80.865605,K&W Cafeteria,25,3.0
113,YM0PtCoW9-j-0kc_PVn-wQ,"[Fast Food, Chicken Wings, Restaurants]",Charlotte,35.352234,-80.850743,Chick-fil-A,10,3.5
114,wcBxjK5CdOuVOQCRMfd6Hw,"[Restaurants, Cheesesteaks]",Charlotte,35.3106099,-80.748385,A Taste of Philly,3,3.0
115,kSBsGa6sUd9sBf1WPFHn-A,"[Restaurants, African]",Charlotte,35.1817769,-80.756373,The Cooking Pot,10,4.5
116,X2f2s37_cFKo4xpzGFqk1w,"[Japanese, Sushi Bars, Restaurants, Buffets]",Pittsburgh,40.4154710864,-79.924143279,Hokkaido Seafood Buffet,169,3.5
117,wYSWgZMiMJxfusnxeWKYXg,"[Salvadoran, Spanish, Latin American, Restaurants, Mexican]",Charlotte,35.160745,-80.875674,Morazán Restaurante,22,3.5
118,6XN7DP9PD3e_FLmCZiG0Gg,"[Restaurants, Food, American (Traditional)]",Charlotte,35.2261580284,-80.8435039451,Mcalister's Deli,7,3.0
119,guGPP-3ZsXdLNjtZDnR7tw,"[Pizza, American (Traditional), Bars, Nightlife, Restaurants]",Pittsburgh,40.482442,-79.996011,Hog's Head Bar & Grill,44,4.5
120,Oy2WnPyiOlPFvPKMIuOC8w,"[Restaurants, Asian Fusion, Japanese, Food Delivery Services, Korean, Food, Chinese, Buffets]",Charlotte,35.0950429,-80.864143,Tin Tin,173,3.0
121,5li4Wxd__uYGrgB8_n_uzw,"[Chinese, Restaurants]",Charlotte,35.3026124,-80.9872958,Bamboo Garden,9,3.5
122,j4jsgp-e315s11ehJfRzAA,"[Restaurants, American (Traditional)]",Pittsburgh,40.4396782,-79.9959316,The Carlton,65,3.5
123,9mmE-8QES9UHgn9jpUi8oQ,"[Food Stands, Restaurants, Food, Food Trucks, Yelp Events, Local Flavor]",Charlotte,35.2270869,-80.8431267,Smax Flatbread Grill,7,4.5
124,DQmEQkOhR4AwifvRPKqz_g,"[Restaurants, Sushi Bars]",Pittsburgh,40.4381749,-79.9988541,Sushi & Rolls,27,4.5
125,gfIVwp0RkM5yMa1u3mbB4Q,"[Tea Rooms, Sandwiches, Restaurants, Food, Desserts, Coffee & Tea]",Pittsburgh,40.4536895,-80.0004615,Arnold's Tea,34,4.5
126,HtObLsspK0xIXfNPb7eUmA,"[Japanese, Ethnic Food, Restaurants, Asian Fusion, Food, Sushi Bars, Specialty Food]",Charlotte,35.1029373522,-80.9848520092,Fuji Japanese Steakhouse,90,3.0
127,nzgmxdQWDQnsub2SwZH3aQ,"[American (Traditional), Restaurants, Sports Bars, Pubs, Nightlife, Bars, Chicken Wings]",Charlotte,35.1164322,-80.9579079,Tilted Kilt Pub & Eatery,72,3.0
128,WksJ0azJ63ijYh0p2HFZHA,"[Mexican, Restaurants, Latin American]",Charlotte,35.1927328,-80.8735693,Casa Grande Restaurant,12,4.0
129,03fe5vYwHA9TxlJJ-7mDMw,"[Breakfast & Brunch, American (Traditional), Restaurants]",Charlotte,35.189003,-80.89231,Pressley Park Restaurant,18,3.0
130,OQcwCyQ53w0rUDdxJXHJfg,"[Breakfast & Brunch, Restaurants, Seafood, Steakhouses]",Charlotte,35.1790007,-80.8808078,Carolina Prime Restaurant & Steakhouse,58,3.5
131,Yf74t_bR1mhRXY03IU6OhA,"[American (New), Restaurants]",Pittsburgh,40.384633,-80.015649,The Getaway Café,40,3.0
132,YjPWt-V5oMkakdRWrALb8g,"[Ethnic Food, Specialty Food, Restaurants, Chinese, Dim Sum, Food, Imported Food]",Charlotte,35.1626388384,-80.7380765199,Honey Bun's Cafeteria,27,4.0
133,8YyBAyA3TKpaVxy99FRWjA,"[Mexican, Restaurants]",Charlotte,35.203291,-80.724748,Taqueria Express,18,4.0
134,I26PLVBABlTcUJ8pq08p_g,"[Restaurants, Irish, Nightlife, Pubs, Bars]",Pittsburgh,40.4534271,-79.9809286,Mullaneys Harp and Fiddle,34,3.5
135,AspFf1d9sRaUloPJAHMqAg,"[Korean, Restaurants, Sushi Bars]",Pittsburgh,40.4464777,-79.9916741,Sushi Kim Restaurant,114,3.0
136,GbcFCQp9VmgMaW_jaMAq_Q,"[Italian, Restaurants]",Pittsburgh,40.455916,-79.979271,Spaghetti Warehouse,99,2.5
137,5JpT-YazYAR1V8wRk4tV6g,"[Food, Nightlife, Seafood, Bars, Restaurants]",Pittsburgh,40.4543526,-79.9828179,Il Mercato,3,3.5
138,x2iDANjTtHvhCPJ2EzlMCQ,"[Cafes, Restaurants, Sandwiches, Caterers, Food, Meat Shops, Specialty Food, Delis, Event Planning & Services]",Charlotte,35.086169,-80.849874,HoneyBaked Ham,7,4.0
139,dUqWP5lD4ubaNahijWJ_YQ,"[American (Traditional), Bars, Sports Bars, Nightlife, Restaurants]",Pittsburgh,40.3927151,-80.0372474,Cips Sports Bar,5,3.0
140,xcjEnqXQU4a6FfomtQR9tQ,"[American (New), Bars, Restaurants, Pubs, Nightlife]",Pittsburgh,40.4294453,-80.0993103,Pennsbury Pub & Grill,13,3.5
141,Yc5_nA9NqqxOp8WCugF-Ng,"[Pizza, Restaurants]",Charlotte,35.1533683,-80.8752317,500 Degrees New York Style Pizzeria,103,4.5
142,BIqsItY0vyOshMpJ0I4cPg,"[Chinese, Restaurants]",Pittsburgh,40.4378528,-79.9195345,How Lee Chinese Food,194,4.0
143,eog-ECRuj1O1II13t--36A,"[Restaurants, Event Planning & Services, Party & Event Planning, Bars, Nightlife, American (Traditional)]",Pittsburgh,40.4455501126,-80.0113372877,Tequila Cowboy Bar & Grill,27,2.5
144,UByM7N0mF-ylIGUuIWHCtA,"[Steakhouses, Restaurants]",Charlotte,35.2102729,-80.8600584,Sullivan's Steakhouse,185,4.0
145,FsDogwXYckKUgs5VUoPbJw,"[Restaurants, Pizza, Chicken Wings, Sandwiches]",Pittsburgh,40.3592663,-80.0022905,Frisch's,24,4.0
146,Y24q_yO23zqY_y-QWOX-XA,"[Seafood, Diners, Greek, Chinese, American (New), Food, Restaurants]",Charlotte,35.35253,-80.851337,Showmars - Northlake Mall,5,3.5
147,4mYS-4UOjTKgsf0tX1_IkQ,"[Vietnamese, Food, Restaurants, Cafes, Bubble Tea]",Pittsburgh,40.472081,-79.95886,Banh Mi & Ti,54,5.0
148,Bh6M_VzX9RH1BS8W-uoUwQ,"[Bars, Beer Gardens, Nightlife, Restaurants, Wine Bars]",Pittsburgh,40.4414480387,-79.9963676268,Biergarten,27,3.0
149,o1fTwfqN0sDFNpV1CkOPPg,"[Restaurants, Sandwiches, Food, Coffee & Tea]",Pittsburgh,40.4692949,-79.9612733,Crazy Mocha Coffee,14,3.5
150,oRKyGtUsN5IcRReN7ScUwQ,"[Italian, Restaurants, Burgers, Pizza]",Pittsburgh,40.4600751,-79.9910633,Riviera Pizza & Pasta,20,3.5
151,Nj3DwfsDAwogVyFrGKxgnA,"[Restaurants, Event Planning & Services, Caterers, Food, Coffee & Tea, Cafes]",Pittsburgh,40.4535609,-79.9805948,Caffè D'Amore Catering,6,4.0
152,e3dbqeMI4k1Jl2VBCq9rNw,"[Restaurants, Pizza]",Charlotte,35.209084,-80.857952,Luigi's Pizza,11,3.5
153,cPZ5ugSrVrqnqD5ZsJhnpA,"[Restaurants, Creperies, Food Trucks, Coffee & Tea, Food]",Pittsburgh,40.4439607709,-79.9542873063,Pgh Crepes,13,3.5
154,KvlaL5wejWOaZayBxP_vUQ,"[Restaurants, Bars, Delis, Nightlife, Sports Bars]",Pittsburgh,40.4471507,-80.0064087,Dominic's,12,2.5
155,y_9Nu0uJ-VgRbGZf_6g49w,"[Event Planning & Services, Party & Event Planning, Active Life, Caterers, Restaurants, Professional Services, Personal Assistants]",Charlotte,35.134436,-80.908506,Waiter's Choice Catering,4,5.0
156,stD-LTFFwlmBdzU-0aBntw,"[Italian, Restaurants, Pizza]",Pittsburgh,40.4506317353,-79.9510331983,Little Nipper's Pizza II,32,3.0
157,dJhfW7ZqZ5_klqA_8ypHVw,"[Sushi Bars, Restaurants]",Pittsburgh,40.444714,-79.9485725,Sushi Fuku,20,3.0
158,EWswCV97BBb0ezXRZhCoOQ,"[Arts & Entertainment, Sandwiches, Museums, Botanical Gardens, Restaurants, Vegetarian]",Pittsburgh,40.4388866336,-79.9478385831,Café Phipps,35,3.0
159,DYX1KsipIxOzz_pqlvUzvg,"[Restaurants, Italian, Pizza]",Charlotte,35.2831030494,-80.6689347506,Capriccio,62,4.5
